"gene_id","hugo_symbol","entrez_gene_id","mean_classical_expression","mean_proneural_expression","classical_sample_count","proneural_sample_count","log2_fold_change","expression_direction"
"1691","CYP4F11","57834","257.33333333","112.58620690","39","29","1.1854461547790118","Higher in Classical"
"6153","S100A14","57402","9.82051282","3.75862069","39","29","1.185153508021426","Higher in Classical"
"3053","HOXB5","3215","68.53846154","29.62068966","39","29","1.1833043728557235","Higher in Classical"
"2995","HIST1H2BL","8340","1.46153846","4.58620690","39","29","-1.1823087276893998","Higher in Proneural"
"2033","EFCAB5","374786","8.30769231","20.06896552","39","29","-1.1786240553900245","Higher in Proneural"
"873","C3orf22","152065","0.12820513","1.55172414","39","29","-1.1774429696020283","Higher in Proneural"
"1693","CYP4F2","8529","4.76923077","1.55172414","39","29","1.176906600875991","Higher in Classical"
"2215","EVA1A","84141","28.97435897","66.75862069","39","29","-1.1766756065666573","Higher in Proneural"
"941","CACNA2D1","781","77.71794872","176.93103448","39","29","-1.1765536337290734","Higher in Proneural"
"1728","DCAF12L1","139170","0.10256410","1.48275862","39","29","-1.1710814734289654","Higher in Proneural"
"5141","PAX6","5080","1922.58974359","854.34482759","39","29","1.169223082027869","Higher in Classical"
"1431","CNTN2","6900","1689.38461538","3800.06896552","39","29","-1.1690536591765148","Higher in Proneural"
"2362","FBN3","84467","418.38461538","941.75862069","39","29","-1.1686144987174298","Higher in Proneural"
"6214","SCN3A","6328","979.84615385","2201.82758621","39","29","-1.1672578087647116","Higher in Proneural"
"572","ATP1A2","477","33186.23076923","14808.13793103","39","29","1.1641405911658589","Higher in Classical"
"2480","FOLH1B","219595","5.82051282","14.27586207","39","29","-1.1633016769932358","Higher in Proneural"
"5198","PCDHGA9","56107","1614.58256410","720.54655172","39","29","1.1628901006063952","Higher in Classical"
"6126","RTKN2","219790","214.66666667","481.82758621","39","29","-1.1627048948794465","Higher in Proneural"
"897","C6orf223","221416","14.58974359","33.89655172","39","29","-1.1624872847915368","Higher in Proneural"
"4540","NEUROD6","63974","14.46153846","33.58620690","39","29","-1.1615129227334304","Higher in Proneural"
